user,created_at,text
iphanhutahaean,Sat Oct 21 10:26:32 +0000 2017,With Dionysius at RS. St. ELIZABETH Semarang [pic] ? https://t.co/PmdZNYF5eD
astrid_ratna,Sat Oct 21 10:20:54 +0000 2017,"With Bu Vix......arisan soksialitaaaahhh
#ngGergajian
#arisankitaaaaah @ Bigbox one stop? https://t.co/Hp65jHTJfV"
melatikusdew,Sat Oct 21 10:18:38 +0000 2017,Yaahh udah mau malem minggu aja ni
RiekeFadhila,Sat Oct 21 10:10:16 +0000 2017,With Ahmat at Anjungan wisata bandara Ahmad Yani ? https://t.co/LVFQKJkrwD
LilaHazhiya,Sat Oct 21 10:09:01 +0000 2017,At Hotel Ciputra ? https://t.co/5wrSSCKvUp
mimohmimoh,Sat Oct 21 10:01:39 +0000 2017,"ratnasinthia hey kau nan jauh disana, we miss you ?? @ Asrama Putri? https://t.co/trMV5xMCd3"
aemansur,Sat Oct 21 09:40:10 +0000 2017,Baru saja mengirim foto @ MG SETOS HOTEL https://t.co/6m7ytFJY8O
suAdell,Sat Oct 21 09:35:03 +0000 2017,Skya ? &amp; Kian ?. Cukup skyan dan terimakasih.. ??? sintha_ayu? https://t.co/pceXSsqFnD
abednego07,Sat Oct 21 09:33:00 +0000 2017,Playlist lagu operasional hari ini sengaja memilih lagu tembang kenangan dari mas billy joe? https://t.co/O3HuPjeCMk
nand_roo,Sat Oct 21 09:28:09 +0000 2017,"Mandiri Karnaval, Employee Happy Day? #MandiriEmployeeDay #mandirians? https://t.co/pfgm9Uk3Nr"
medina_sf,Sat Oct 21 09:24:40 +0000 2017,At @twitusm [vid] ? https://t.co/Fi6tjnN0Cr
Esa920606,Sat Oct 21 09:22:17 +0000 2017,Karena tidak ada yang dipeluk jadi meluk boneka aja yang bisa dipeluk hahaha ?? @ House Of? https://t.co/YH6mc7gLTk
medina_sf,Sat Oct 21 09:19:48 +0000 2017,At @twitusm [pic] ? https://t.co/secrjSa2T2
medina_sf,Sat Oct 21 09:19:46 +0000 2017,At @twitusm [vid] ? https://t.co/9PafjPrcHE
musik_point,Sat Oct 21 09:15:36 +0000 2017,"Redih gitar boobok
#limitedstock
Original #guitarpoint 
.
Idr:? https://t.co/vRPd8NxG5a"
musik_point,Sat Oct 21 09:14:03 +0000 2017,"Redih gitar boobok
#limitedstock
Original #guitarpoint 
.
Idr:? https://t.co/tMXlQ3sGkC"
musik_point,Sat Oct 21 09:13:11 +0000 2017,"Redih gitar boobok
#limitedstock
Original #guitarpoint 
.
Idr:? https://t.co/pSaquEbwPU"
